pattern,match_type,business_category,nigp_class_3digit,nigp_item_5digit,nigp_match_level,notes
"PHYSIO CONTROL MEDICAL EQUIPMENT NEW, PARTS, SUPPLIES, ACCESSORIES AND MAINTENANCE (TRANSFER FROM PO#28640)",exact,Medical & Health Services,465,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=88): Physio Control manufactures cardiovascular medical equipment including AEDs and defibrillators; description explicitly r"
PRESSURE WASHING SERVICES,exact,Heavy Equipment & Machinery,630,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=88): Pressure washing is a facility maintenance service; code 630 explicitly covers purchase of pressure washers and equipmen  [auto-corrected 2026-05-06: business_category aligned to canonical mapping]"
1243365: Weed Cutting Grid D,exact,"Landscaping, Grounds & Irrigation",988,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=87): Weed cutting is a landscaping maintenance service; class 988 covers comprehensive landscape services including hand pull"
CRP-HRP 2024 Grantee,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=86): CRP-HRP refers to a grant program and grantee designation, indicating pass-through funding distribution rather than proc"
Roll Off Box Services Zone 3,exact,"Janitorial, Sanitation & Waste",968,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=85): Roll-off box services are waste disposal services; NIGP 968 specifically covers dumpster cost and monthly service per pi"
VARIOUS TYPES OF PRINTING PAPER,exact,"Office, Print & Marketing",645,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=85): Printing paper is a standard office supply commodity that maps directly to NIGP class 645 for offset paper in various co"
ADVERTISING,exact,"Office, Print & Marketing",915,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=81): Generic advertising description maps directly to NIGP 915 ADVERTISING/PUBLIC RELATIONS."
1243346: Weed Cutting Grid B,exact,"Landscaping, Grounds & Irrigation",988,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=80): Weed cutting is a landscape maintenance service, and NIGP 988 covers comprehensive landscape services including hand pul"
1190212A: Community Infrastructure Contract (CIC) - Area 5 - MBI-1/ Bidding Restricted to Mid-Sized Local Business Enterprises,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=79): This is a contract award notice for a Community Infrastructure Contract (CIC), which represents pass-through or subgrant"
"ComEd UDC Encumbrance 2023 $2,540,339.27",exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=79): ComEd UDC Encumbrance is a pass-through utility reimbursement/funding arrangement, not a direct procurement of goods or "
SAFETY TOE AND/OR BOOTS WITH SHOE MOBILE SERVICE,exact,"Public Safety, Uniforms & PPE",800,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=78): Safety toe boots are personal protective equipment for public safety personnel; NIGP 800 covers leather shoes with elect"
"1255783: Ductile Iron Push-on, Ductile Iron Restrained, and Mechanical Joint Water Pipe (Target Market)",exact,Construction Materials,670,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=77): Water pipe with push-on joint specification directly matches NIGP 670 (PIPE, WATER - PUSH-ON JOINT) for municipal infras  [auto-corrected 2026-05-06: business_category aligned to canonical mapping]"
"INSULATION, PIPE - LOW TEMP WATER FIBERGLASS INSULATION 2-1/2 IN. THICKNESS, PIPE 8 IN.",exact,Facilities Operations & Maintenance,010,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=76): Description exactly matches NIGP 010 definition for fiberglass pipe insulation at specified thickness and diameter.  [auto-corrected 2026-05-06: business_category aligned to canonical mapping]"
"1258503: Manhole/Catch Basin, Frames, Lids, Inlet Gutter Box Vaults, Grates, Bends and Miscellaneous Items",exact,Construction Materials,400,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=76): Manhole frames and catch basin components are standard infrastructure materials matching NIGP 400 (castings, cast iron f  [auto-corrected 2026-05-06: business_category aligned to canonical mapping]"
1243316: Weed Cutting Grid A,exact,"Landscaping, Grounds & Irrigation",988,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=73): Weed cutting is a standard landscaping maintenance task, and NIGP 988 explicitly covers comprehensive landscape services"
MOPD-CDBG-HOMEMOD,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=71): MOPD-CDBG references Community Development Block Grant, a federal pass-through funding program for HOME modifications su"
"Grant Agreement, CAHP",exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=71): Grant agreement disbursement for Community and Health Programs (CAHP) is a subgrant pass-through funding arrangement."
"LIFT TRUCKS, SCISSOR LIFTS AND PALLET JACKS- GROUPS: A, B, C, D, E & F",exact,Heavy Equipment & Machinery,545,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=71): Scissor lifts and lift trucks are material handling equipment used for temporary access and lifting; NIGP 545 explicitly  [auto-corrected 2026-05-06: business_category aligned to canonical mapping]"
HONDA POWER PORTABLE GAS GENERATORS AND REPLACEMENTS PARTS,exact,Heavy Equipment & Machinery,550,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=70): Gas generators are portable power equipment and attachments, directly matching NIGP 550 which covers outdoor power equip"
UTILITY TRAILERS- GROUP A: LANDSCAPE TRAILERS AND GROUP B: CARGO TRAILERS,exact,Vehicles & Fleet,073,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=70): Description explicitly references landscape and cargo trailers, which directly map to NIGP 073 (TRAILERS, VARIOUS TYPES "
Arterial Street Resurfacing - Far South Area,exact,Construction Materials,745,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=69): Arterial street resurfacing describes the installation of hot mix asphalt surface course, which directly corresponds to   [auto-corrected 2026-05-06: business_category aligned to canonical mapping]"
1243358: Weed Cutting Grid C,exact,"Landscaping, Grounds & Irrigation",988,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=68): Service description matches landscape maintenance work, specifically the comprehensive landscape services class 988 whic"
1249096: Term Agreement for Lead Service Line Replacements - District 1 (Group A),exact,Construction & Trades Services,913,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=67): Lead service line replacement is infrastructure maintenance/repair work matching bridge construction and general facilit"
"WORK AND BUSINESS UNIFORMS AND APPAREL, DISCOUNT OFF MOST RECENT CARHARTT, INC RETAIL PRICE LIST",exact,"Public Safety, Uniforms & PPE",200,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=67): Work and business uniforms are protective apparel typically used by public safety and municipal workers; NIGP 200 covers"
"Ductile Iron Push-On, Ductile Iron Restrained & Mechanical Joint Water Pipe",exact,Construction Materials,670,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=67): Water pipe with push-on and mechanical joint connections directly corresponds to NIGP 670 (PIPE, WATER - PUSH-ON JOINT)   [auto-corrected 2026-05-06: business_category aligned to canonical mapping]"
Palo Alto Networks Premium Support   extended service agreement  renewal,exact,"IT, Telecom & Audio/Visual",920,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=67): This is a software/network security support service agreement, matching NIGP 920 (Network Services - Active Security Ass"
MOSQUITO ABATEMENT SERVICES,exact,"Landscaping, Grounds & Irrigation",910,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=66): Mosquito abatement is an integrated pest management service for outdoor facilities, matching NIGP 910 (Integrated Pest M"
DOMESTIC VIOLENCE HOTLINE SERVICES,exact,Medical & Health Services,952,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=64): Domestic violence hotline services are emergency telephone and referral counseling services matching NIGP 952 (Counselin  [auto-corrected 2026-05-06: business_category aligned to canonical mapping]"
JOINT PROCUREMENT WITH STATE OF ILLINOIS AND DELL FOR SOFTWARE LICENSING AND OR SUBSCRIPTION SUPPORT AND SERVICES,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=64): This is a joint procurement with the State of Illinois, indicating a pass-through or cooperative funding arrangement rat"
CCPSA AUGUST STIPEND,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=64): CCPSA August Stipend is a pass-through funding disbursement to a subgrant recipient, not a procurement of goods or servi"
ARMORED CAR SERVICES,exact,Professional & Administrative Services,990,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=63): Armored car services for currency or asset transportation is a professional service category with a direct NIGP match (9"
"Management of Parking and Ground Transportation Facilities Midway Int'l Airport, Spec# 87223",exact,Facilities Operations & Maintenance,909,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=62): Management of airport parking and ground transportation facilities is clearly airport facility maintenance and operation"
CCPSA MAY STIPEND,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=61): CCPSA (Chicago Community Policing Council Strategic Alliance) stipend is a pass-through funding disbursement to an exter"
ARMORED CAR SERVICES FOR CHICAGO PUBLIC LIBRARY,exact,Professional & Administrative Services,990,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=61): Armored car services for transportation and security of valuables is directly matched to NIGP class 990 (Armored Car Ser"
"AIR COMPRESSOR, NEW, REPAIR AND MAINTENANCE",exact,Facilities Operations & Maintenance,025,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=61): Description matches NIGP 025 (AIR COMPRESSOR, BREATHING - FURNISH & INSTALL STATIONARY AIR COMPRESSOR SYSTEM) which cove  [auto-corrected 2026-05-06: business_category aligned to canonical mapping]"
"Grant Agreement, IAP/IAC",exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=61): IAP/IAC (Intergovernmental Agreement/Interagency Agreement) Grant Agreements are subgrant disbursements that pass throug"
CCPSA OCTOBER STIPEND,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=60): CCPSA October stipend is a pass-through funding disbursement to an external entity, not a procurement of goods or servic"
CONCOURSE L3-GATE EXPANSION CONSTRUCTION - TAXIWAY ALPHA 22 CONNECTOR REIMBURSEMENT AGREEMENT,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=60): This is a reimbursement agreement for airport construction costs, representing pass-through funding disbursement to anot"
1233224: ARTERIAL RESURFACING TERM AGREEMENT-NORTH AREA,exact,Construction & Trades Services,913,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=59): Arterial road resurfacing is a bridge/roadway construction and maintenance service that directly corresponds to NIGP cla"
CCPSA JULY STIPEND,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=59): CCPSA stipend is a pass-through funding disbursement to an external entity, not a procurement of goods or services."
CCPSA NOVEMBER STIPEND,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=59): CCPSA stipend is a monthly disbursement indicating pass-through or subgrant funding rather than procurement of goods or "
CCPSA DCM NOV. 2024 STIPEND,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=58): Description indicates a stipend disbursement to CCPSA (likely a subgrantee organization) for November 2024, which is a p"
DIESEL POWERED RUBBER TIRED FRONT END LOADERS GROUP A: FRONT END LOADERS WITH 4 CUBIC YARD BUCKET AND GROUP B: FRONT END LOADERS WITH 3 CUBIC YARD BUCKET,exact,Heavy Equipment & Machinery,760,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=58): Front end loaders are heavy construction equipment; NIGP 760 explicitly covers loaders and accessories."
"SALT, ROCK (SODIUM CHLORIDE - TO BE USED AS A DE-ICER). - BULK DELIVERY TO CHICAGO O'HARE INTERNATIONAL AIRPORT",exact,Chemicals & Water Treatment,192,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=58): Rock salt for de-icing is a chemical de-icer commodity clearly matching NIGP class 192 (ICE AND SNOW REMOVAL CHEMICALS) "
CCPSA APRIL STIPEND,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=57): CCPSA April Stipend is a subgrant disbursement to an external organization, not a commodity or service procurement."
CCPSA JUNE STIPEND,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=57): CCPSA June Stipend is a pass-through funding disbursement to an external organization or program."
"Grant Agreement, CityArts ARP",exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=57): Description explicitly identifies this as a grant agreement, which is a subgrant disbursement requiring categorization a"
"Ductile iron push-on, ductile iron restrained & mechanical joint water pipe",exact,Construction Materials,670,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=57): Ductile iron water pipe with various joining methods (push-on, restrained, mechanical joint) directly matches NIGP 670 (  [auto-corrected 2026-05-06: business_category aligned to canonical mapping]"
LED Street Lights,exact,Facilities Operations & Maintenance,285,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=57): LED street lights are facility infrastructure lighting equipment for outdoor maintenance and operations."
CCPSA MARCH STIPEND,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=56): CCPSA stipend is a pass-through funding disbursement to an organization, not a commodity or service purchase."
Cisco Catalyst 9300   Network Advantage   switch   48 ports   managed   rac,exact,"IT, Telecom & Audio/Visual",920,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=55): Managed network switch is core IT infrastructure equipment; NIGP 920 (Network Services) is the closest available class f"
Cisco StackWise 480   stacking cable   1 6 ft,exact,"IT, Telecom & Audio/Visual",280,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=55): Cisco StackWise stacking cable is networking infrastructure equipment; NIGP 280 covers telephone/telecom cable and relat"
CCPSA APRIL 2025 STIPEND,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=54): Stipend payment to CCPSA (Chicago Community Policing Council Steering Authority) is a pass-through funding disbursement,"
CCPSA JULY STIPEND 2024,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=55): CCPSA July Stipend is a pass-through funding disbursement to an external organization, not procurement of goods or servi"
CCPSA DECEMBER STIPEND 2023,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=55): CCPSA December Stipend 2023 is a pass-through funding disbursement to an external organization, not a procurement of goo"
"LUMINAIRE: LED, VIADUCT/ELEVATED STRUCTURE RETROFITS",exact,Facilities Operations & Maintenance,285,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=56): LED luminaire retrofits for viaduct/elevated structures are facility lighting maintenance/upgrade work typically handled"
